gid,created_at,title,price,seller
www.ebay.com-29fce0beb35ea777fa7207f6d1f7b069,2022-03-03T14:55:10.989392Z,Apple iPhone 11 - 128GB - Factory Unlocked - Good Condition,$389.99,electro-wireless
www.ebay.com-b16bf29cfc8dd83b62c55349c40e1146,2022-03-03T14:55:23.093066Z,Apple iPhone SE [1st Gen] 32 / 64 / 128GB Unlocked Smartphone - NEW SEALED,$155.99 to $211.99,victory_us
www.ebay.com-9c74c0ee1dee30ef47e17f1df6183187,2022-03-03T14:54:31.196956Z,Apple iPhone 11 - 64GB - Factory Unlocked - Good Condition,$354.99,electro-wireless
www.ebay.com-a6a358470b404850230629eb82a9008b,2022-03-03T14:56:24.386899Z,Apple iPhone 6 16GB 64GB 128GB Factory Unlocked GSM SmartPhone Very Good,$76.99 to $94.99,
www.ebay.com-1747d9bdb2b765fa07516658a86d9155,2022-03-03T14:54:49.083511Z,Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very,$259.99,cellfeee
www.ebay.com-b9db7008a4fe3f84b61d9243098cc83d,2022-03-03T14:55:53.400505Z,Apple iPhone XR 64GB 4G LTE (Factory Unlocked) T-Mobile AT&T Verizon Excellent,$279.95,qualitycellz
www.ebay.com-78a469b37f01133770a405058eb117be,2022-03-03T14:54:16.888289Z,Apple  iPhone 7 - 32GB - Black - (GSM) Unlocked - Smartphone - Very Good,$104.99,
www.ebay.com-4adab2a30a1b56001f840be00f824bba,2022-03-03T14:56:51.39551Z,Apple iPhone X - 256GB - Factory Unlocked - Very Good Condition,$289.99,electro-wireless
www.ebay.com-8a30e45bcec0aff7167fa389ad3c7e01,2022-03-03T14:54:46.087239Z,Apple iPhone 11 Pro Max -256GB-Space Gray Unlocked A2161 (CDMA + GSM) VERY GOOD!,$589.99,superbdeals1
www.ebay.com-0bfba9fc8d934e24037520ea0d8f8e93,2022-03-03T15:21:29.951904Z,Apple iPhone 13 Pro Max - 128GB - Sierra Blue (AT&T),$900.00,
www.ebay.com-50bbdca012308cd0beacbeba20792edc,2022-03-03T14:54:10.393738Z,Apple iPhone XR - 64GB - Factory Unlocked - Good Condition,$245.99,
www.ebay.com-1a728236ea65587e68e8134d40afe391,2022-03-03T14:53:17.983344Z,Apple iPhone XR 64GB 4G LTE (Factory Unlocked) T-Mobile AT&T Verizon Good,$264.99,qualitycellz
www.ebay.com-ac1221c62af0f052c9dd3d614e1dae33,2022-03-03T14:53:34.787166Z,Apple iPhone XR - 64GB -Black (Unlocked) A1984 (CDMA + GSM)~SRF~ VERY GOOD!,$249.99,superbdeals1
www.ebay.com-7897e92864100b08d3e4ef7a8fcb6beb,2022-03-03T14:54:41.103304Z,Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Very Good,$379.99,
www.ebay.com-f489880b62bd8634e88b7eaa7a95f124,2022-03-03T14:54:25.297898Z,Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Very Good,$229.99,cellfeee
